ART番号,クラスタ名,役割,メインKW(運用値=config/MMS),鮮度階層,最終更新日(参考),情報基準日(参考),状態
ART-021,P1 即時償却 Cluster,,外貨両替機 節税,,,,(未公開/計画のみ)
ART-022,P2 法人節税 Cluster,,役員報酬 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-023,P2 法人節税 Cluster,,法人 経費,,2026-04-29,2026年4月時点の税法に基づく,publish
ART-024,P2 法人節税 Cluster,,法人税 減らす,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-025,P2 法人節税 Cluster,,法人節税 相談,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-026,P2 法人節税 Cluster,,社宅制度,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-027,P2 法人節税 Cluster,,法人保険 節税,,2026-04-30,2026年4月時点の税法に基づく,publish
ART-028,P2 法人節税 Cluster,,経営セーフティ共済,,2026-05-03,2026年6月時点の税法に基づく,publish
ART-029,P2 法人節税 Cluster,,オペレーティングリース 節税,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-030,P2 法人節税 Cluster,,少額減価償却資産,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-031,P2 法人節税 Cluster,,繰越欠損金,,2026-04-29,2026年4月時点の税法に基づく,publish
ART-032,P2 法人節税 Cluster,,インボイス 節税,,,,(未公開/計画のみ)
ART-033,P2 法人節税 Cluster,,節税 脱税 違い,,,,(未公開/計画のみ)
ART-034,P2 法人節税 Cluster,,節税 税務調査,,,,(未公開/計画のみ)
ART-035,P2 法人節税 Cluster,,節税 内部留保,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-036,P2 法人節税 Cluster,,法人設立1年目 節税,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-037,P2 法人節税 Cluster,,不動産 法人 節税,,,,(未公開/計画のみ)
ART-038,P2 法人節税 Cluster,,法人節税 失敗,,2026-04-29,2026年4月時点の税法に基づく,publish
ART-039,P3 決算対策 Cluster,,決算直前 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-040,P3 決算対策 Cluster,,決算月 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-041,税制改正 横串,,2026年法人税制改正,,2026-04-20,2026年4月時点の税法に基づく,publish
ART-042,税制改正 横串,,防衛増税 法人税,,,,(未公開/計画のみ)
ART-043,税制改正 横串,,中小企業 補助金 2026,,,,(未公開/計画のみ)
ART-044,パートナー 横串,,税理士 代理店 節税,,,,(未公開/計画のみ)
ART-045,パートナー 横串,,税理士 即時償却 提案,,,,(未公開/計画のみ)
ART-046,事業承継・退職金 Cluster,Pillar,役員退職金 節税,,2026-04-23,2026年4月時点の税法に基づく,publish
ART-047,事業承継・退職金 Cluster,Cluster,小規模企業共済 節税,,2026-04-23,2026年4月時点の税法に基づく,publish
ART-048,事業承継・退職金 Cluster,Cluster,iDeCo+ 節税,,2026-04-23,2026年4月時点,publish
ART-049,事業承継・退職金 Cluster,Cluster,特退共,,2026-04-23,2026年4月時点,publish
ART-050,事業承継・退職金 Cluster,Cluster,事業承継税制,,2026-04-23,2026年4月時点,publish
ART-051,事例・インタビュー Cluster,Pillar,節税事例,,2026-04-23,2026年4月時点,publish
ART-052,事例・インタビュー Cluster,Cluster,即時償却 事例,,2026-04-23,2026年4月時点,publish
ART-053,事例・インタビュー Cluster,Cluster,経営強化税制 事例 飲食,,2026-04-23,2026年4月時点,publish
ART-054,事例・インタビュー Cluster,Cluster,節税 提案,,2026-04-23,2026年4月時点の税法に基づく,publish
ART-055,事例・インタビュー Cluster,Cluster,紹介代理店 会計事務所,,2026-04-23,2026年4月時点の税法に基づく,publish
ART-056,PL-D1 個人事業主節税総合,Pillar,個人事業主の節税,,2026-05-05,2026年4月時点の税法に基づく,publish
ART-057,PL-D1 個人事業主節税総合,Cluster,個人事業主の青色申告,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-058,PL-D1 個人事業主節税総合,Cluster,小規模企業共済,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-059,PL-D1 個人事業主節税総合,Cluster,個人事業主のiDeCo,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-060,PL-D1 個人事業主節税総合,Cluster,個人事業主の家事按分,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-061,PL-D1 個人事業主節税総合,Cluster,少額減価償却資産 個人事業主,,2026-07-06,2026年7月時点の税法に基づく,publish
ART-062,PL-D1 個人事業主節税総合,Cluster,個人事業主の法人化タイミング,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-063,PL-D1 個人事業主節税総合,Cluster,個人事業主のインボイス,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-064,PL-D1 個人事業主節税総合,Cluster,個人事業主の電子帳簿保存法,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-065,PL-D1 個人事業主節税総合,Cluster,個人事業主の確定申告,,2026-04-24,2026年4月時点の税法に基づく,publish
ART-066,税制改正・制度 横串,Cluster,令和8年度 税制改正大綱,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-067,税制改正・制度 横串,Cluster,インボイス 2029年 法人,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-068,税制改正・制度 横串,Cluster,電子帳簿保存法 法人 電子取引,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-069,税制改正・制度 横串,Cluster,消費税 2割特例 終了 法人,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-070,税制改正・制度 横串,Cluster,節税スキーム 封じ込め,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-071,税制改正・制度 横串,Cluster,税制適格ストックオプション,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-072,税制改正・制度 横串,Cluster,法人 暗号資産 期末時価評価,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-073,税制改正・制度 横串,Cluster,グローバルミニマム課税 OECD Pillar 2,,2026-04-25,2026年4月時点の税法に基づく,publish
ART-074,PL-S1 即時償却主力商材 Cluster,Pillar,即時償却 設備 比較,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-075,PL-S1 即時償却主力商材 Cluster,Cluster,IoTビーコン端末 節税,,2026-04-26,2026年4月時点の税法に基づく,
ART-076,PL-S1 即時償却主力商材 Cluster,Cluster,外貨両替機 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-077,PL-S1 即時償却主力商材 Cluster,Cluster,IoT自販機 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-078,PL-S1 即時償却主力商材 Cluster,Cluster,EV充電 節税,,2026-04-26,2026年4月時点の税法に基づく,
ART-079,PL-S1 即時償却主力商材 Cluster,Cluster,ポータルサイト 節税,,2026-04-26,2026年4月時点の税法に基づく,publish
ART-080,P3 決算対策 Cluster,Cluster,決算賞与 要件,,2026-04-28,2026年4月時点の税法に基づく,publish
ART-081,P3 決算対策 Cluster,Cluster,短期前払費用,,2026-04-28,2026年4月時点の税法に基づく,publish
ART-082,P3 決算対策 Cluster,Cluster,決算前 設備投資,,2026-04-28,2026年4月時点の税法に基づく,publish
ART-083,事業承継・退職金 Cluster,Cluster,役員退職金 適正額,,2026-05-01,2026年4月時点の税法に基づく,publish
ART-084,事業承継・退職金 Cluster,Cluster,自社株評価 引下げ,,2026-05-01,2026年4月時点の税法に基づく,publish
ART-085,事例・インタビュー Cluster,Cluster,建設業 節税,,2026-05-02,2026年4月時点の税法に基づく,publish
ART-086,GPU/AIサーバー×節税 Cluster(PRJ-013),Pillar,GPU 節税,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-087,GPU/AIサーバー×節税 Cluster(PRJ-013),Cluster,AIサーバー 節税,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-088,GPU/AIサーバー×節税 Cluster(PRJ-013),Cluster,データセンター 節税,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-089,GPU/AIサーバー×節税 Cluster(PRJ-013),Cluster,GPUサーバー 比較,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-090,GPU/AIサーバー×節税 Cluster(PRJ-013),Cluster,GPU 節税 否認,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-091,GPU/AIサーバー×節税 Cluster(PRJ-013),Cluster,GPU 経営強化税制 申請,,2026-05-02,2026年5月時点の税法に基づく,publish
ART-092,不明,,即時償却 税務調査 質問,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-093,不明,,GPU 節税 税務調査,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-094,不明,,外貨両替機 税務調査,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-095,不明,,IoTビーコン端末 税務調査,,2026-05-03,2026年5月時点の税法に基づく,
ART-096,不明,,節税商品 選び方 利益規模,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-097,不明,,即時償却 商品 比較 利回り,,2026-05-03,2026年5月時点の税法に基づく,publish
ART-098,不明,,出口戦略,,2026-05-15,2026年5月時点の税法に基づく,publish
ART-099,不明,,オペレーティングリース,,2026-05-22,2026年5月時点の税法に基づく,publish
ART-100,不明,,オペレーティングリース,,2026-05-29,2026年5月時点の税法に基づく,publish
ART-101,不明,,法人保険 解約返戻金 出口,,2026-06-05,2026年5月時点の税法に基づく,publish
ART-102,不明,,節税商品 出口 切り替え,,2026-06-05,2026年5月時点の税法に基づく,publish
ART-103,不明,,役員退職金 規程 整備,,2026-08-07,2026年5月時点の税法に基づく,publish
ART-104,不明,,即時償却 売却 益金,,2026-08-21,2026年5月時点の税法に基づく,publish
ART-105,不明,,事業承継,,2026-09-04,2026年5月時点の税法に基づく,
ART-106,不明,,新リース会計基準,,2026-12-04,2026年5月時点,publish
ART-107,不明,,ドローンネット破産,,,2026-05-05,publish
ART-108,不明,,リンクソリューション破産,,,2026-05-05,publish
ART-109,不明,,スマートテック民事再生,,,2026-05-05,publish
ART-110,不明,,節税商品倒産業界リスク,,,2026-05-05,publish
ART-111,不明,,賃上げ促進税制2026,,,2026-05-05,publish
ART-112,C柱 外貨両替機リスク Cluster(PRJ-020),Pillar,外貨両替機 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-113,C柱 外貨両替機リスク Cluster(PRJ-020),Cluster,外貨両替機 業者選び,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-114,C柱 外貨両替機リスク Cluster(PRJ-020),Cluster,外貨両替機 即時償却 否認,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-115,C柱 外貨両替機リスク Cluster(PRJ-020),Cluster,外貨両替機 為替変動 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-116,C柱 外貨両替機リスク Cluster(PRJ-020),Cluster,外貨両替機 設置場所,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-117,C柱 外貨両替機リスク Cluster(PRJ-020),Cluster,外貨両替機 損失 シミュレーション,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-118,C柱 オペレーティングリースリスク Cluster(PRJ-020),Pillar,オペレーティングリース リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-119,C柱 オペレーティングリースリスク Cluster(PRJ-020),Cluster,JOL リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-120,C柱 オペレーティングリースリスク Cluster(PRJ-020),Cluster,オペリース 早期解約 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-121,C柱 オペレーティングリースリスク Cluster(PRJ-020),Cluster,オペリース 業者選び,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-122,C柱 オペレーティングリースリスク Cluster(PRJ-020),Cluster,オペリース 原資産 比較,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-123,C柱 オペレーティングリースリスク Cluster(PRJ-020),Cluster,オペレーティングリース 税務調査,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-124,C柱 IoT節税リスク Cluster(PRJ-020),Pillar,IoT 節税 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-125,C柱 IoT節税リスク Cluster(PRJ-020),Cluster,IoT自販機 稼働率 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-126,C柱 IoT節税リスク Cluster(PRJ-020),Cluster,IoT 補助金 併用 注意,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-127,C柱 IoT節税リスク Cluster(PRJ-020),Cluster,IoT節税 業者選び,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-128,C柱 IoT節税リスク Cluster(PRJ-020),Cluster,IoT機器 陳腐化 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-129,C柱 IoT節税リスク Cluster(PRJ-020),Cluster,IoT節税 商材 比較,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-130,C柱 法人保険リスク Cluster(PRJ-020),Pillar,法人保険 節税 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-131,C柱 法人保険リスク Cluster(PRJ-020),Cluster,法人保険 出口戦略 失敗,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-132,C柱 法人保険リスク Cluster(PRJ-020),Cluster,名義変更プラン 封じ後,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-133,C柱 法人保険リスク Cluster(PRJ-020),Cluster,法人保険 2019年通達,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-134,C柱 法人保険リスク Cluster(PRJ-020),Cluster,法人保険 役員退職金 失敗,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-135,C柱 法人保険リスク Cluster(PRJ-020),Cluster,法人保険 規制 改正史,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-136,C柱 LP出資型リスク(PRJ-020),Pillar,LP出資型 節税 リスク,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-137,C柱 即時償却逆効果リスクハブ(PRJ-020),Pillar,即時償却 逆効果,,2026-05-06,2026年5月時点の税法に基づく,publish
ART-138,不明,,オペレーティングリース 倒産,,2026-05-08,2026年5月時点の公開情報に基づく,publish
ART-139,不明,,賃上げ促進税制 令和8年度改正,,2026-05-08,2026年5月時点の公開情報に基づく,publish
ART-140,不明,,少額減価償却資産 40万円,,2026-05-08,2026-05-08,publish
ART-141,不明,,少額減価償却資産 40万円,,2026-05-08,2026-05-08,publish
ART-142,不明,,中小企業経営強化税制,,2026-04-19,2026年5月時点,publish
ART-143,不明,,経営力向上計画,,2026-05-13,2026年5月時点,
ART-144,不明,,中小企業経営強化税制,,2026-05-09,2026年5月時点,publish
ART-159,不明,,オペレーティングリース 倒産,,2026-05-13,2026年5月時点,publish
ART-160,不明,,中小企業経営強化税制 令和8年度改正,,2026-05-13,2026年5月時点,publish
ART-161,不明,,事業承継税制 延長,,2026-05-13,2026年5月時点,publish
ART-162,不明,,AI税務調査,,2026-06-07,2026年6月時点の公表情報に基づく,publish
ART-163,不明,,即時償却,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-164,不明,,経営強化税制,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-165,不明,,即時償却,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-166,不明,,投資促進税制,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-167,不明,,少額減価償却資産,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-168,不明,,資産計上,,2026-06-09,2026年6月時点,publish
ART-169,不明,,C類型廃止,,2026-06-09,2026年6月時点の税法に基づく,publish
ART-170,不明,,サーバーの耐用年数,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-171,不明,,パソコンの耐用年数,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-172,不明,,ネットワーク機器の耐用年数,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-173,不明,,中古資産の耐用年数,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-174,不明,,ソフトウェアの耐用年数,,2026-06-10,2026年6月時点の税法に基づく,publish
ART-175,不明,,研究開発税制,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-176,不明,,賃貸不動産の相続税,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-177,不明,,即時償却 税額控除,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-178,不明,,リース 購入 比較,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-179,不明,,経営力向上計画 申請,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-180,不明,,特別償却 別表,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-181,不明,,税務調査 法人,,2026-06-11,2026年6月時点の税法・公表資料に基づく,publish
ART-182,不明,,節税 否認,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-184,不明,,決算対策 節税,,2026-06-11,2026年6月時点の税法に基づく,publish
ART-185,不明,,経営者 節税,,2026-06-12,2026年6月時点の税法に基づく,publish
ART-186,不明,,IoTビーコン 節税,,,2026年04月26日,publish
ART-187,不明,,IoTビーコン 税務調査,,,2026年05月03日,publish
ART-188,不明,,EV充電器 即時償却,,,2026年04月26日,publish
ART-189,不明,,事業承継 退職金 タイミング,,,2026年05月05日,publish
ART-190,不明,,小規模企業共済 解約,,2026-07-04,2026年7月時点,
